"","glottocode","GB107C","GB139","GB140","GB298","GB299","GB137","GB138","GB257","GB260","GB950m","GB264c","GB285cc","GB947mc","GB949m","GB286c","GB291c","GB297","GB262c","GB263c","GB058C","GB059","GB250","GB252c","GB251m","GB253c","GB254c","GB256","GB329c","GB606m","GB330c","GB331C","GB327","GB095C","GB096C","GB098C","GB105","GB408","GB409","GB410","GB265","GB900OM","GB273","GB800m","GB116","GB026","GB480m","GB081","GB777drm","GB103","GB108","GB113","GB147c","GB556OM","GB151","GB704drm","GB800OM","GB701drm","GB702drm","GB124","GB563m","GB104","GB302c","GB853drm","GB177","GB991drmcC","GB990drmcC","GB051c","GB052c","GB053c","GB054c","GB192c","GB703drmc","GB321c","GB624drmc","GB623drmc","GB431c","GB433c","GB430c","GB432c","GB620drmc","GB621drmc","GB622drmc","GB557drm","GB559drm","GB558drm","GB595m","GB024ri","GB995S","GB065ri","GB074c","GB075c","GB130ri","GB131","GB203ri","GB022c","GB023c","GB132","GB133C","GB421c","GB422c","GB552m","GB047","GB048","GB590mC","GB591mC","GB501drm","GB158","GB159","GB953drmcC","GB954drmcC","GB020c","GB550m","GB021c","GB027","GB028","GB030","GB031","GB035","GB036","GB037","GB038c","GB039c","GB945m","GB041c","GB046C","GB049C","GB551mC","GB057c","GB068","GB069","GB888drmcC","GB553drmcC","GB549drmc","GB887drmc","GB082cC","GB083c","GB084c","GB625mC","GB099","GB109C","GB110cC","GB111C","GB852drmC","GB850drm","GB117","GB118","GB500drm","GB122","GB123","GB126","GB127","GB129","GB134","GB135","GB136","GB146","GB555m","GB556m","GB149C","GB150","GB152","GB155C","GB156","GB167","GB560drmcC","GB567drm","GB568drm","GB569drmcC","GB561drmc","GB196C","GB197C","GB198c","GB204","GB296","GB300","GB301","GB304c","GB309c","GB313","GB951drmcC","GB952drmcC","GB955drmc","GB322c","GB323c","GB324","GB325","GB326","GB332nom","GB334","GB335","GB401","GB402","GB403","GB415","GB510m","GB522C"
"1764","sulk1246","0","0","0","?","?","0","0","?","?","?","?","?","?","?","?","?","?","?","?","NA","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","0","0","0","0","1","0","0","1","?","?","0","?","?","?","?","0","1","0","?","?","?","1","?","?","?","?","?","?","?","?","0","1","?","?","?","?","1","1","0","?","1","1","?","2","?","1","1","0","1","0","?","1","0","1","NA","?","?","0","1","1","NA","?","?","1","0","?","?","1","1","1","1","0","0","1","0","1","0","NA","1","1","1","?","1","?","NA","1","1","NA","NA","NA","NA","?","?","?","1","0","1","0","0","1","?","0","1","1","?","0","?","0","0","1","1","1","0","?","?","0","0","0","0","0","?","?","?","?","?","?","NA","NA","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1765","sume1241","1","1","0","0","1","0","1","?","?","?","?","?","?","?","?","?","?","?","?","NA","0","?","?","?","?","?","?","?","?","?","0","1","1","1","1","0","1","1","1","1","neither","0","0","0","?","1","0","1","0","1","0","1","NA","1","?","NA","?","?","?","1","1","0","1","0","1","?","0","0","1","0","0","?","0","1","1","NA","NA","0","1","1","1","1","0","1","0","0","2","noun-adj and noun-dem","2","0","1","1","0","?","NA","NA","0","1","NA","NA","0","0","0","1","0","0","1","1","NA","?","NA","0","NA","?","0","0","0","1","0","1","NA","0","1","0","0","NA","1","NA","?","?","1","NA","0","1","NA","NA","NA","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","NA","0","0","NA","0","0","NA","0","NA","NA","NA","?","1","0","0","1","NA","0","0","0","1","NA","NA","0","?","1","decimal system","1","1","0","0","1","0","0","1"
"1766","sund1252","0","1","0","1","1","0","0","1","0","1","0","1","1","1","0","1","0","0","1","NA","0","1","?","?","?","?","0","NA","0","NA","0","1","0","NA","NA","1","?","?","?","0","marker of standard with elsewhere locational meaning","1","1","0","0","1","1","1","0","0","1","1","NA","0","0","?","0","0","1","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","?","?","?","?","NA","NA","NA","?","1","?","1","1","?","NA","1","0","1","?","NA","NA","NA","?","NA","?","?","1","1","0","?","NA","?","1","1","NA","0","NA","0","NA","0","0","0","0","0","0","0","0","1","1","0","0","NA","0","1","1","0","NA","0","1","0","?","?","?","0","0","NA","0","0","NA","1","0","1","?","1","0","1","0","0","0","1","1","0","1","0","NA","1","0","1","0","0","NA","1","0","NA","1","NA","NA","NA","1","0","0","0","0","?","1","NA","NA","0","1","1","1","0","1","decimal system","0","0","?","?","?","?","?","NA"
"1767","sunw1242","1","0","1","0","0","0","0","?","?","?","?","?","?","?","?","?","?","?","?","NA","0","0","0","1","0","1","0","NA","0","NA","NA","0","0","0","0","1","1","1","1","0","neither","1","0","0","?","1","0","1","0","0","0","NA","NA","0","?","NA","?","?","0","1","0","NA","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","1","0","1","0","0","1","1","1","0","1","1","1","0","1","adj-noun and dem-noun","1","0","1","1","0","?","NA","NA","0","1","NA","NA","1","?","?","1","1","0","1","?","0","0","NA","0","NA","?","1","0","1","0","1","0","0","0","1","0","1","?","0","1","0","0","1","1","1","1","0","1","0","1","0","0","0","1","1","1","1","0","0","1","?","0","?","0","1","1","?","0","0","0","0","0","0","NA","0","0","NA","0","0","NA","0","NA","NA","NA","?","0","0","0","NA","0","1","0","1","1","NA","NA","0","0","1","decimal system","0","0","1","0","0","1","0","0"
"1768","supy1237","1","1","1","0","1","1","0","0","0","1","0","NA","NA","0","NA","NA","0","1","1","NA","0","0","1","1","1","0","1","0","1","1","NA","0","0","NA","NA","0","1","0","1","1","marker of standard with elsewhere locational meaning","0","0","0","0","0","0","1","0","0","1","NA","NA","0","1","NA","1","1","0","1","0","NA","1","0","1","0","0","1","1","1","0","1","1","NA","NA","1","0","NA","NA","NA","NA","NA","1","1","1","0","2","?","1","1","1","1","0","2","1","1","0","1","1","0","0","1","1","NA","NA","1","1","0","NA","0","1","1","0","0","0","0","0","0","0","0","NA","0","1","0","0","1","1","NA","0","1","NA","NA","NA","NA","NA","0","1","0","0","NA","0","0","NA","1","1","1","0","0","1","0","0","0","1","0","1","0","0","0","NA","1","0","1","0","1","1","1","1","1","1","NA","NA","0","1","1","0","0","NA","1","0","1","0","1","NA","NA","0","0","0","decimal system","1","1","0","0","0","0","1","NA"
"1769","surg1248","0","1","0","0","1","0","0","?","0","?","?","?","?","?","?","?","0","?","?","NA","0","1","?","?","?","?","0","NA","0","NA","0","1","0","0","0","0","0","0","1","0","marker of standard with elsewhere locational meaning","0","0","0","0","1","0","1","0","0","1","1","NA","0","1","NA","1","0","0","1","0","0","1","0","1","0","NA","NA","NA","NA","NA","NA","NA","1","0","0","1","NA","NA","1","1","0","1","1","1","0","1","?","1","0","1","1","0","1","NA","NA","0","1","?","?","0","1","0","0","1","0","0","0","0","0","NA","0","NA","1","0","0","1","0","0","1","NA","0","1","0","1","NA","0","NA","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","?","1","0","1","0","0","0","1","0","0","0","NA","0","0","NA","0","NA","NA","NA","0","0","0","0","1","1","0","0","1","1","NA","NA","0","?","1","decimal system","0","0","0","0","0","0","?","1"
"1770","surs1246","NA","1","1","1","1","0","1","1","0","1","0","NA","NA","0","NA","NA","0","?","1","1","1","?","?","?","?","?","?","NA","0","NA","0","1","NA","NA","NA","1","0","0","1","?","marker of standard with elsewhere locational meaning","?","?","0","0","1","0","0","0","0","1","NA","NA","0","?","?","?","?","1","1","0","NA","?","0","0","1","NA","NA","NA","NA","NA","NA","NA","1","0","0","1","NA","NA","0","0","1","0","1","1","?","1","?","NA","1","0","2","0","?","?","?","1","NA","1","0","0","0","0","0","NA","1","1","?","NA","0","?","?","?","1","1","0","1","0","0","0","NA","0","1","0","?","NA","0","NA","1","?","0","0","1","1","NA","NA","NA","NA","0","NA","NA","0","NA","?","0","1","1","1","?","0","0","0","1","1","?","?","0","0","NA","0","0","1","?","0","NA","0","0","NA","?","NA","NA","NA","?","?","0","1","NA","NA","1","0","0","1","?","?","0","?","1","decimal system","0","0","0","0","0","?","1","NA"
"1771","suru1261","1","1","?","0","1","0","0","0","0","1","1","?","?","?","?","?","0","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","1","?","?","?","?","?","?","?","1","0","1","?","0","?","?","?","?","1","?","1","1","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","1","?","?","1","1","?","?","?","?","?","?","?","?","0","0","?","0","1","?","?","?","?","?","1","?","?","1","?","1","1","1","1","?","?","?","?","?","?","?","0","?","?","0","1","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","0","?","?","?","0","NA","?","NA","NA","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?"
"1772","suru1262","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","0","?","?","1","0","?","?","?","?","1","?","?","1","?","?","1","0","?","?","?","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?"
"1773","susu1250","0","?","1","?","?","0","0","1","0","1","0","?","?","1","?","1","?","1","1","?","?","0","NA","0","NA","NA","0","?","?","?","?","?","?","?","?","0","?","?","?","?","?","?","?","?","?","0","0","1","?","0","1","?","?","?","1","?","1","?","?","1","0","?","?","0","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","1","?","2","?","1","0","1","1","0","1","0","1","1","?","?","?","0","?","1","NA","?","?","1","1","?","?","1","1","1","?","1","0","0","0","0","0","NA","0","1","1","0","?","?","NA","?","?","NA","NA","NA","NA","0","1","?","?","0","?","?","0","?","?","?","?","1","1","?","?","?","?","1","0","1","?","?","?","?","1","0","1","0","0","?","?","0","NA","?","NA","NA","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1774","swah1253","1","1","0","0","0","0","?","1","0","?","?","NA","NA","0","NA","NA","0","?","?","NA","0","?","NA","0","NA","NA","?","?","?","?","?","1","0","0","0","1","0","0","1","1","conjoined clauses","1","0","0","?","0","0","1","1","0","1","1","NA","0","0","NA","1","1","0","1","0","0","0","0","1","0","0","1","1","1","0","1","0","0","1","0","1","1","0","1","1","1","1","1","1","0","2","noun-adj and noun-dem","2","1","0","1","0","?","NA","NA","1","NA","NA","NA","0","1","1","NA","1","?","1","1","NA","0","NA","0","NA","0","0","0","0","1","0","?","NA","?","1","0","?","1","1","NA","1","0","NA","NA","NA","NA","?","1","1","1","0","0","0","0","1","1","1","0","1","0","1","?","0","0","1","1","1","1","1","0","1","1","0","1","0","0","1","1","1","NA","1","NA","NA","1","?","1","0","0","1","0","0","1","0","1","NA","NA","0","?","1","decimal system","0","0","0","0","0","0","0","1"
"1775","swed1254","0","0","1","0","1","1","0","?","1","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","0","?","?","?","?","0","NA","0","NA","0","1","0","NA","NA","1","1","0","1","0","neither","0","1","0","0","1","0","1","0","0","0","1","NA","0","0","?","0","0","?","1","0","0","1","0","1","1","1","0","0","0","1","0","1","NA","NA","NA","NA","0","1","NA","NA","NA","1","1","1","0","1","adj-noun and dem-noun","1","1","?","1","0","1","1","1","1","?","1","0","0","1","1","1","NA","0","0","0","NA","0","1","1","1","1","0","1","0","0","0","0","NA","1","1","?","0","1","1","NA","0","0","?","0","1","?","1","1","0","0","0","NA","?","0","NA","1","1","0","1","1","?","?","1","0","1","1","1","0","1","0","NA","0","0","NA","0","0","1","1","1","1","1","0","0","1","1","?","0","0","1","0","1","1","0","1","NA","NA","0","?","0","decimal system","0","0","1","1","0","1","1","NA"
"1776","tabo1241","1","1","1","0","0","1","1","0","0","0","NA","NA","1","1","1","0","0","NA","NA","NA","0","0","0","1","0","1","0","NA","0","NA","NA","0","0","0","0","0","?","?","?","1","neither","0","?","0","0","1","0","1","1","1","0","NA","NA","0","?","?","?","?","0","1","0","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","?","?","?","?","1","1","1","1","1","1","0","1","adj-noun and dem-noun","1","0","1","1","0","1","1","0","0","1","?","?","0","?","1","?","?","?","0","1","NA","0","0","1","0","1","0","0","0","1","0","0","NA","0","1","0","?","?","0","NA","0","0","0","0","1","1","1","1","1","1","0","1","0","1","1","1","?","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","1","NA","?","?","NA","1","1","1","1","NA","NA","NA","?","0","0","?","NA","1","0","NA","NA","0","NA","NA","0","?","0","neither","0","0","?","?","?","?","?","?"
"1777","tafi1243","1","0","0","?","?","?","1","1","0","1","0","?","?","?","?","?","?","0","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","1","neither","0","0","?","?","1","?","1","?","1","?","?","?","?","1","NA","1","?","0","1","0","?","?","?","1","?","0","1","1","?","?","?","?","?","1","?","?","?","?","1","1","?","1","1","?","?","2","noun-adj and noun-dem","1","1","1","1","0","2","?","1","1","0","?","?","1","1","1","?","?","?","1","?","?","?","1","1","0","0","0","0","0","0","0","0","1","1","1","?","?","1","1","0","0","0","?","?","1","?","?","1","1","1","?","?","1","?","0","?","1","1","?","0","?","?","?","0","1","0","1","?","?","?","?","?","?","?","0","?","1","0","1","1","1","NA","NA","1","?","?","?","?","?","?","?","1","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1778","taga1270","?","1","1","?","?","0","1","?","?","?","?","?","?","?","?","?","?","?","?","NA","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","0","0","1","1","?","1","1","1","?","?","0","?","?","?","?","0","1","1","?","?","?","?","?","?","?","?","?","?","?","?","NA","NA","?","?","?","?","NA","NA","NA","?","0","1","?","1","?","NA","1","0","2","1","?","1","0","0","NA","?","?","0","1","1","?","?","?","1","1","?","?","1","1","0","1","1","0","1","1","0","0","NA","?","?","?","?","1","?","NA","1","1","1","1","1","1","?","?","?","?","0","?","?","?","?","?","0","0","1","0","0","1","0","0","1","1","0","1","?","?","?","0","0","1","0","?","?","?","?","?","?","NA","NA","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"1779","taga1272","NA","1","0","0","1","0","1","1","0","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","0","0","0","1","0","1","0","NA","0","NA","?","1","NA","NA","NA","1","1","0","1","0","neither","1","1","?","?","1","0","0","1","0","1","NA","NA","0","?","non-bound","?","?","0","1","1","NA","?","0","?","?","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","?","1","?","2","1","?","2","1","?","1","0","0","?","1","0","0","?","1","0","NA","0","1","?","?","?","1","1","1","?","1","0","0","0","0","0","NA","?","?","?","?","1","1","NA","1","?","NA","1","1","0","NA","NA","NA","NA","?","NA","NA","NA","NA","?","0","0","0","0","0","1","?","0","1","1","0","?","0","0","NA","0","?","1","0","0","?","0","0","NA","?","NA","NA","0","?","?","?","?","NA","NA","0","?","?","?","?","?","0","0","0","decimal system","?","?","?","?","?","0","1","NA"
"1780","tagb1258","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","1","1","1","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","2","?","?","2","1","?","1","0","0","?","?","?","?","1","?","?","?","?","1","1","?","?","1","1","0","?","1","0","0","1","0","0","?","?","1","?","1","?","?","?","?","?","1","1","1","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","0","NA","?","NA","NA","?","?","?","?","?","?","?","?","1","?","1","?","?","?","?","?","?","?","?","?","?","?","1","?","?"
"1781","tagi1241","1","1","?","0","0","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","0","0","?","?","?","?","?","0","1","?","1","?","1","?","?","?","?","?","?","?","?","?","1","0","?","0","?","?","?","NA","NA","NA","NA","NA","NA","NA","?","?","NA","NA","0","1","?","?","?","1","?","1","?","2","?","1","0","1","1","0","?","?","?","0","1","?","?","1","?","1","1","?","0","1","1","?","?","?","?","?","?","0","0","0","1","1","0","0","?","?","?","?","?","0","1","1","0","1","1","1","1","1","1","1","?","0","?","0","0","?","1","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","1","?","?","?","NA","0","0","NA","?","NA","NA","NA","?","?","?","?","?","0","?","?","?","?","?","?","0","?","1","decimal system","0","0","?","?","?","0","?","?"
"1782","tago1246","1","1","0","0","0","0","0","?","?","?","?","?","?","?","?","?","?","?","?","NA","0","0","0","1","1","0","0","?","?","?","?","?","0","0","0","?","0","0","1","?","?","?","?","0","?","0","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","1","0","0","1","1","0","0","?","1","0","1","0","1","1","0","1","1","1","1","1","?","?","2","noun-adj and noun-dem","2","?","?","1","0","?","?","?","0","?","?","?","0","1","1","NA","1","?","?","?","NA","0","?","?","?","?","1","0","0","0","0","0","NA","1","1","?","?","?","1","NA","0","0","NA","NA","NA","NA","1","1","0","1","?","?","1","?","?","1","1","?","1","1","?","?","?","0","?","?","1","1","?","?","?","?","?","?","?","0","1","1","1","?","1","NA","NA","1","?","?","?","?","?","?","1","1","0","1","?","?","0","?","1","decimal system","0","0","?","?","1","0","?","?"
"1783","tagw1240","?","1","?","0","1","0","1","?","?","?","?","?","?","1","?","1","?","?","?","?","?","?","?","?","?","?","?","0","1","1","0","1","?","?","?","0","1","0","1","?","?","1","?","?","0","0","0","?","?","?","?","?","?","?","1","?","1","?","?","1","?","?","?","?","1","0","?","?","?","?","?","?","?","NA","NA","?","?","?","?","NA","NA","NA","1","?","?","?","2","?","1","0","1","1","0","?","NA","NA","0","1","?","?","0","1","0","NA","?","1","?","?","NA","0","NA","0","NA","0","?","0","0","0","0","0","NA","0","1","0","0","NA","?","NA","0","?","NA","NA","NA","NA","?","?","?","?","0","?","?","?","?","?","1","?","?","?","?","?","?","?","1","?","1","?","?","?","?","?","?","?","?","0","?","1","1","NA","1","NA","NA","?","?","?","0","?","?","1","0","0","0","1","?","?","0","?","1","decimal system","0","1","?","0","0","?","?","?"
"1784","taha1241","?","?","0","1","1","0","1","1","0","0","NA","NA","NA","0","NA","NA","0","NA","NA","0","1","1","1","1","0","1","0","1","1","0","0","1","?","?","?","0","1","0","1","1","marker of standard with elsewhere locational meaning","0","1","0","0","1","1","?","1","1","1","1","NA","0","0","non-bound","0","1","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","0","1","NA","NA","1","1","1","1","?","0","?","NA","noun-adj and noun-dem","2","1","0","2","1","2","0","1","0","NA","?","?","0","1","1","0","?","1","1","?","NA","0","0","1","0","0","0","1","0","1","0","0","NA","1","1","1","?","?","1","NA","1","1","1","1","1","1","?","?","?","?","0","?","?","1","?","1","1","?","1","?","?","1","?","0","1","1","1","?","1","0","?","0","0","1","0","?","1","1","1","1","1","1","1","1","1","?","0","?","0","0","0","1","0","1","?","?","0","0","0","decimal system","0","0","1","0","0","?","?","?"
"1785","tahi1242","NA","1","0","1","0","0","1","1","0","0","NA","NA","NA","0","NA","NA","0","NA","NA","0","1","0","?","1","?","1","?","NA","0","NA","0","1","NA","NA","NA","1","1","1","0","1","marker of standard with elsewhere locational meaning","0","1","0","0","1","0","0","0","0","1","1","NA","0","1","non-bound","1","0","1","1","0","0","0","0","0","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","1","1","0","1","?","1","1","0","2","1","2","1","0","0","NA","1","0","1","0","0","0","NA","1","1","1","0","0","1","1","1","0","1","0","1","1","0","0","0","0","1","0","1","NA","0","1","1","1","1","0","1","1","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","1","0","0","?","1","0","0","1","1","1","1","1","0","NA","0","0","1","0","0","NA","1","0","NA","1","NA","NA","NA","0","?","0","1","1","NA","0","0","1","1","NA","NA","1","0","1","decimal system","0","0","1","0","0","?","1","NA"
"1786","taia1239","0","0","?","0","1","1","0","?","?","?","?","?","?","?","?","?","?","?","?","NA","0","?","?","?","?","?","?","NA","0","NA","0","1","0","1","0","0","0","1","0","0","?","?","?","0","0","1","0","1","1","0","?","?","?","1","1","?","1","1","?","1","0","?","1","0","0","1","1","1","1","0","0","1","0","1","0","NA","NA","0","1","1","1","1","0","1","1","0","2","?","NA","1","1","1","0","?","NA","NA","0","1","NA","NA","?","?","?","1","0","0","0","?","NA","0","NA","0","NA","?","0","1","0","1","0","0","?","1","1","0","0","?","1","?","0","0","1","1","1","1","NA","NA","NA","1","1","0","0","1","0","1","0","1","0","0","1","1","?","0","1","1","0","0","?","?","0","0","1","?","?","0","1","0","1","NA","1","0","0","0","?","?","0","0","?","NA","0","0","0","1","NA","NA","0","0","?","?","?","?","?","1","0","0","0","1"
"1787","taib1242","NA","1","1","?","1","1","1","0","0","1","1","1","1","1","1","0","0","0","1","?","?","1","?","?","?","?","?","NA","0","NA","NA","0","NA","NA","NA","0","0","0","0","0","neither","0","0","0","0","0","0","0","0","0","0","0","2","0","1","NA","1","0","0","1","0","1","0","0","NA","NA","0","1","0","0","0","0","0","NA","NA","NA","NA","0","1","NA","NA","NA","1","1","1","0","1","adj-noun and dem-noun","1","1","0","1","0","1","NA","NA","1","NA","1","0","1","0","0","NA","NA","1","0","0","0","0","NA","0","NA","0","1","0","0","0","0","0","0","0","1","0","0","NA","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","1","1","1","1","1","1","0","0","1","1","?","?","1","1","NA","0","0","NA","1","0","NA","0","0","NA","0","NA","NA","NA","0","?","0","1","?","0","0","NA","NA","0","NA","NA","1","1","1","decimal system","?","?","?","0","0","0","1","NA"
