"","glottocode","GB139","GB140","GB298","GB299","GB137","GB138","GB257","GB260","GB950m","GB264c","GB285cc","GB947mc","GB949m","GB286c","GB291c","GB297","GB262c","GB263c","GB059","GB250","GB252c","GB251m","GB253c","GB254c","GB256","GB329c","GB606m","GB330c","GB327","GB105","GB408","GB409","GB410","GB265","GB273","GB800m","GB116","GB026","GB480m","GB081","GB777drm","GB103","GB108","GB113","GB147c","GB151","GB704drm","GB701drm","GB702drm","GB124","GB563m","GB104","GB302c","GB853drm","GB177","GB954drmc","GB051c","GB052c","GB053c","GB054c","GB192c","GB703drmc","GB321c","GB624drmc","GB623drmc","GB025ri","GB431c","GB433c","GB430c","GB432c","GB991drmc","GB046","GB049","GB551m","GB620drmc","GB621drmc","GB058","GB888drmc","GB553drmc","GB082c","GB625m","GB095","GB096","GB098","GB622drmc","GB557drm","GB559drm","GB107","GB558drm","GB109","GB110c","GB595m","GB024ri","GB111","GB065ri","GB852drm","GB074c","GB851drm","GB075c","GB130ri","GB131","GB203ri","GB022c","GB023c","GB132","GB421c","GB422c","GB552m","GB047","GB133","GB048","GB501drm","GB158","GB159","GB020c","GB148c","GB550m","GB021c","GB149","GB027","GB028","GB030","GB031","GB155","GB035","GB036","GB037","GB560drmc","GB038c","GB039c","GB945m","GB569drmc","GB041c","GB193ri","GB196","GB057c","GB197","GB068","GB069","GB549drmc","GB887drmc","GB083c","GB084c","GB099","GB266","GB270","GB850drm","GB275c","GB117","GB276c","GB118","GB500drm","GB122","GB123","GB126","GB127","GB129","GB134","GB135","GB136","GB146","GB555m","GB303c","GB556m","GB150","GB152","GB156","GB167","GB951drmc","GB990drmc","GB567drm","GB952drmc","GB568drm","GB953drmc","GB561drmc","GB198c","GB204","GB296","GB300","GB301","GB328","GB304c","GB309c","GB313","GB331","GB333","GB955drmc","GB322c","GB336","GB323c","GB324","GB325","GB326","GB334","GB335","GB401","GB402","GB403","GB415","GB590m","GB510m","GB591m","GB522"
"2430","bulo1242","1","1","0","1","0","1","0","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","?","0","0","0","0","?","1","0","?","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","1","2","0","2","0","1","1","0","1","0","NA","?","?","1","1","0","1","1","0","1","1","1","?","?","NA","?","?","0","0","?","0","0","1","0","0","0","NA","0","NA","0","?","NA","2","1","1","0","?","?","NA","NA","NA","NA","0","0","0","1","0","1","1","1","1","1","0","1","0","0","1","1","0","?","?","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","?","0","0","0","?","NA","0","0","1","NA","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","1"
"2431","cent1992","?","?","0","1","1","1","0","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","0","0","0","1","1","0","1","0","0","1","1","0","0","0","1","NA","0","0","0","0","0","1","0","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","?","?","NA","0","0","0","NA","NA","0","1","1","NA","0","0","0","0","NA","0","1","0","1","0","0","0","NA","0","2","1","1","1","0","1","0","1","NA","NA","1","1","0","1","0","0","0","1","0","1","NA","NA","0","NA","0","?","1","0","0","1","1","1","0","NA","0","NA","0","NA","NA","2","1","1","0","1","0","0","0","NA","NA","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","1","1","0","0","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","1","0","0","0","NA","NA","1","0","1","NA","NA","0","NA","0","0","0","0","0","?","0","0","0","?","1","0","1"
"2432","chon1284","1","?","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","NA","0","0","0","0","0","1","0","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","2","0","2","0","1","1","0","1","0","2","NA","NA","1","1","0","1","0","0","0","0","1","1","NA","NA","0","NA","0","1","0","0","0","1","1","0","0","NA","0","NA","0","NA","NA","2","0","1","0","0","0","NA","NA","NA","NA","0","0","0","1","NA","1","NA","1","1","0","0","1","0","0","1","1","?","0","0","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","0","0","NA","NA","0","0","1","NA","NA","0","NA","0","0","1","0","0","0","0","0","1","0","1","0","1"
"2433","chra1242","1","1","0","1","0","0","1","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","0","1","1","0","1","0","0","1","?","?","?","0","0","0","0","0","0","0","1","1","0","0","0","0","?","1","0","?","?","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","0","0","0","0","NA","0","1","0","2","1","1","1","0","1","0","2","NA","NA","1","?","?","1","?","0","?","0","1","?","NA","?","0","NA","?","?","0","0","0","1","1","0","0","NA","0","NA","0","NA","NA","2","1","1","0","1","0","NA","NA","NA","NA","0","?","?","?","?","1","?","?","0","1","1","1","0","0","1","1","1","?","1","?","?","?","0","?","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","?","1","?","NA","0","0","0","NA","NA","0","NA","0","1","0","0","0","?","0","0","0","0","?","0","?"
"2434","dzao1238","1","1","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","1","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","0","1","0","0","1","0","1","0","0","0","0","?","0","0","0","0","0","0","1","1","1","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","0","1","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","1","0","1","?","1","?","0","1","0","2","NA","NA","1","NA","NA","1","0","0","0","1","1","1","NA","NA","0","NA","0","1","0","0","0","0","0","0","0","NA","1","NA","0","NA","NA","NA","0","1","0","1","0","NA","NA","NA","NA","0","0","0","1","NA","1","NA","1","0","0","1","1","0","0","1","1","0","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","0","1","1","NA","0","0","1","NA","NA","0","NA","0","1","1","0","0","0","0","0","0","0","0","0","1"
"2435","east2330","1","1","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","1","1","1","1","0","0","1","0","1","0","NA","0","NA","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","1","1","0","1","0","0","0","2","0","2","0","1","0","0","NA","1","2","NA","NA","1","NA","NA","1","0","0","0","1","0","0","NA","NA","0","NA","0","0","0","0","0","0","1","0","0","NA","0","NA","0","NA","NA","2","0","1","0","1","1","NA","NA","NA","NA","0","0","0","1","NA","1","NA","1","0","0","0","1","0","0","1","1","0","0","1","NA","0","0","0","1","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","0","0","1","0","0","0","1","NA","NA","0","NA","0","?","1","0","0","0","0","0","1","0","0","0","1"
"2436","futu1245","1","1","0","1","1","0","0","0","0","NA","NA","NA","0","NA","NA","0","NA","NA","1","0","NA","0","NA","NA","0","NA","0","NA","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","NA","0","1","1","0","0","1","0","NA","0","0","0","0","1","0","0","0","0","0","1","1","2","NA","NA","0","1","1","0","1","1","1","0","0","NA","NA","NA","1","0","0","0","0","1","1","1","1","1","0","0","NA","0","NA","0","1","0","0","NA","1","2","1","0","1","0","1","0","?","0","0","1","1","1","1","NA","1","1","0","0","1","0","1","1","1","0","0","0","NA","0","1","0","0","2","0","NA","0","1","?","NA","NA","NA","NA","0","0","1","0","1","0","1","1","0","?","0","1","0","0","1","1","1","0","0","NA","0","0","0","0","0","1","1","0","1","1","1","1","NA","0","0","0","0","0","NA","0","1","0","1","1","NA","0","NA","0","0","1","0","0","0","0","0","0","1","1","0","1"
"2437","hano1246","0","0","0","1","1","0","1","0","0","NA","NA","NA","0","NA","NA","0","NA","NA","1","0","NA","0","NA","NA","0","NA","0","NA","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","0","1","1","0","0","1","?","0","1","0","?","NA","NA","NA","NA","NA","NA","NA","1","0","2","0","1","NA","NA","0","0","1","0","0","0","1","NA","NA","NA","1","0","0","0","1","1","1","0","1","0","0","0","2","0","2","1","1","1","0","1","0","2","0","1","1","1","0","0","1","0","0","0","1","1","?","NA","1","1","0","1","1","0","1","1","?","0","0","NA","NA","0","1","?","0","2","0","NA","0","1","0","NA","NA","NA","NA","0","0","1","1","0","0","1","1","1","1","?","0","0","0","1","1","1","?","1","NA","0","0","0","?","0","0","1","1","1","0","1","1","NA","1","0","0","?","0","?","0","0","?","1","1","NA","0","NA","0","0","?","0","0","1","0","0","0","0","1","1","0"
"2438","huuu1240","?","?","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","1","0","1","0","?","NA","0","NA","NA","0","?","?","?","?","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","0","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","NA","0","2","?","1","?","0","1","0","?","NA","NA","1","NA","NA","1","0","0","0","1","1","0","NA","NA","0","NA","0","?","0","0","0","0","?","0","0","NA","1","NA","0","NA","NA","2","0","1","0","1","0","NA","NA","NA","NA","0","0","0","1","NA","1","NA","1","0","0","?","1","0","0","?","?","0","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","?","0","0","0","?","?","NA","0","?","1","NA","NA","0","NA","0","0","1","0","0","0","0","0","0","0","0","0","?"
"2439","iban1264","1","0","0","1","0","0","1","0","1","0","NA","NA","0","NA","NA","0","1","0","0","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","?","1","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","1","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","1","1","0","0","0","0","0","1","?","2","0","1","0","0","1","0","NA","NA","NA","1","?","?","1","1","0","1","1","1","1","NA","NA","0","NA","0","1","1","0","1","1","0","0","0","NA","0","NA","0","NA","NA","2","0","1","0","0","0","NA","NA","NA","NA","0","0","0","1","0","0","1","1","0","1","1","1","?","0","1","1","1","?","1","NA","0","?","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","0","0","1","0","0","0","1","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","?","0","0"
"2440","jamb1236","1","0","0","1","0","0","1","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","1","0","?","?","?","?","1","1","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","1","0","2","0","1","NA","NA","NA","0","1","0","0","1","0","NA","NA","NA","1","0","0","1","1","0","1","0","1","0","0","?","NA","0","2","1","1","1","0","2","0","1","0","1","1","1","0","1","1","0","1","1","1","1","1","NA","1","0","0","?","0","0","0","1","0","0","0","NA","1","NA","0","0","NA","2","0","1","0","1","0","NA","NA","NA","NA","0","1","0","1","0","1","1","0","0","1","?","1","?","0","1","1","0","?","1","NA","0","?","0","?","0","NA","NA","0","NA","0","NA","NA","NA","1","?","0","?","0","1","NA","0","0","1","NA","?","0","?","0","0","1","0","0","?","0","0","0","0","1","1","1"
"2441","kemb1249","1","0","1","0","1","0","1","1","1","1","NA","NA","0","NA","NA","0","0","0","0","1","NA","0","NA","NA","0","NA","0","NA","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","1","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","1","NA","0","2","1","1","1","0","NA","0","1","NA","NA","1","NA","NA","1","0","0","1","1","1","1","NA","NA","0","NA","0","0","1","0","1","1","0","0","0","NA","0","NA","0","NA","NA","2","0","1","0","1","1","NA","NA","NA","NA","0","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","1","0","0","NA","0","0","1","NA","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","0"
"2442","keoo1238","1","1","0","1","0","0","1","0","1","0","NA","NA","0","NA","NA","0","0","1","1","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","?","0","0","0","0","0","1","0","?","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","2","0","2","0","1","1","0","1","0","2","1","0","1","NA","NA","1","0","0","0","1","?","?","1","NA","1","0","0","0","1","0","0","0","1","0","0","NA","0","NA","0","0","NA","2","0","1","0","0","1","NA","NA","NA","NA","0","1","0","0","NA","0","NA","1","1","0","0","1","0","0","?","1","1","0","?","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","1","0","?","0","?","NA","0","0","1","NA","NA","0","NA","0","0","1","0","0","1","0","0","1","0","0","0","1"
"2443","kuyy1240","1","?","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","?","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","1","1","0","0","0","0","1","2","0","2","0","1","1","0","1","0","?","NA","NA","1","1","0","1","?","0","?","1","?","0","NA","?","0","NA","0","1","0","0","0","0","1","0","0","NA","0","NA","0","NA","NA","2","0","1","0","1","1","NA","NA","NA","NA","0","0","0","1","0","1","1","?","0","0","?","0","?","0","1","1","1","1","1","?","?","?","0","0","0","NA","NA","0","NA","0","NA","NA","NA","?","0","?","?","0","1","0","0","0","?","NA","0","0","1","0","0","1","0","?","?","?","?","0","0","1","0","1"
"2444","lach1248","1","0","0","1","1","0","1","0","1","0","NA","NA","0","NA","NA","0","0","1","?","1","?","?","?","?","?","?","?","?","?","?","1","0","?","1","0","?","0","0","0","0","0","0","0","?","0","0","0","0","0","?","1","0","0","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","?","1","0","2","0","1","1","0","1","0","1","NA","NA","1","?","?","0","?","0","?","1","1","1","NA","NA","0","NA","0","1","1","0","0","?","1","0","0","NA","NA","NA","0","NA","NA","2","0","NA","0","0","0","NA","NA","NA","NA","0","0","0","1","?","1","?","1","0","0","1","1","?","0","1","1","1","0","1","NA","0","?","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","?","0","?","?","1","NA","0","?","1","NA","?","0","?","0","1","1","0","0","1","0","0","0","0","?","0","1"
"2445","leme1238","1","0","?","0","0","0","1","0","?","?","NA","NA","0","NA","NA","0","?","?","1","?","?","?","?","?","?","?","?","?","1","0","0","0","1","?","?","?","0","0","0","0","0","0","?","0","NA","0","0","0","0","?","1","0","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","0","1","NA","NA","NA","?","?","0","NA","NA","1","NA","NA","NA","0","1","0","0","NA","0","1","0","1","0","0","0","2","0","2","0","1","0","0","1","0","?","1","0","1","1","0","0","?","0","?","1","1","1","1","NA","1","1","0","1","1","0","1","0","1","0","0","NA","NA","NA","0","0","NA","2","0","NA","0","1","0","NA","NA","NA","NA","0","?","?","0","?","0","?","1","0","?","0","1","0","0","1","1","1","0","0","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","?","?","0","1","0","NA","NA","0","0","?","NA","NA","0","NA","0","?","1","?","?","1","0","0","?","0","1","1","1"
"2446","lewo1244","1","0","0","1","1","0","1","0","1","0","NA","NA","0","NA","NA","0","0","1","1","0","0","1","0","1","1","NA","0","NA","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","1","0","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","1","1","2","0","1","0","1","NA","0","0","0","1","1","0","NA","NA","NA","1","0","0","0","1","0","1","0","0","0","0","0","2","0","NA","0","1","0","0","1","0","?","NA","NA","1","NA","NA","0","0","0","0","1","0","0","NA","NA","0","NA","0","0","1","0","0","0","0","0","0","NA","NA","NA","0","NA","NA","2","0","NA","0","0","?","NA","NA","NA","NA","0","1","0","1","0","0","1","1","0","1","?","1","0","0","1","1","0","1","0","NA","0","?","0","0","0","NA","NA","0","NA","0","NA","NA","NA","?","0","0","1","0","NA","NA","0","0","1","NA","NA","0","NA","0","0","1","0","0","1","0","0","0","1","0","1","?"
"2447","mang1378","1","?","0","1","0","0","?","0","1","1","NA","NA","0","NA","NA","1","0","1","?","?","?","?","?","?","?","?","?","?","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","?","0","0","1","1","?","?","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","?","?","0","NA","NA","?","NA","NA","NA","0","0","0","0","NA","1","1","0","1","0","0","?","2","0","2","0","1","1","0","1","0","?","1","0","1","NA","NA","1","?","0","?","1","?","0","1","?","1","1","0","?","0","0","0","1","0","0","0","NA","1","NA","0","0","NA","2","0","1","0","1","1","NA","NA","NA","NA","0","0","?","?","1","1","?","1","0","?","1","1","?","0","1","1","1","?","1","?","?","1","0","1","?","NA","NA","0","NA","0","NA","NA","NA","?","?","0","?","0","1","0","0","?","1","NA","?","0","?","0","?","1","0","0","?","0","0","0","0","0","0","1"
"2448","mlab1235","1","?","0","1","0","1","1","0","1","0","NA","NA","0","NA","NA","0","0","1","0","?","?","?","?","?","?","NA","0","NA","1","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","NA","0","0","0","0","0","1","0","NA","?","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","1","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","2","0","1","0","1","?","0","1","0","2","1","0","1","?","?","1","0","0","0","1","0","0","1","NA","1","0","0","?","0","0","0","1","0","0","0","NA","0","NA","0","0","NA","2","0","1","0","0","0","NA","NA","NA","NA","0","0","1","?","NA","0","NA","1","0","0","0","0","?","0","1","1","0","0","0","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","?","1","0","0","0","NA","NA","1","0","1","NA","NA","0","NA","0","?","1","0","0","1","0","0","0","0","?","0","1"
"2449","mokl1243","1","0","0","1","1","0","0","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","?","?","?","0","1","0","1","?","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","?","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","1","1","0","1","0","0","0","2","0","1","0","1","?","0","1","0","2","NA","NA","1","NA","NA","1","?","0","?","1","1","0","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","NA","1","NA","0","NA","NA","2","0","1","0","1","1","NA","NA","NA","NA","0","0","0","?","0","1","1","1","0","1","1","1","?","0","1","1","0","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","?","?","0","?","0","1","0","0","0","1","NA","NA","0","NA","0","0","1","0","0","?","0","0","1","0","0","0","1"
"2450","nort2684","1","0","1","0","0","0","1","0","1","0","NA","NA","0","NA","NA","0","0","1","0","1","0","1","0","1","0","NA","0","NA","1","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","?","0","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","?","1","0","1","0","0","0","2","0","2","0","1","1","0","1","0","2","NA","NA","1","1","0","1","1","0","0","?","1","1","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","NA","0","NA","0","NA","NA","2","1","1","1","0","0","NA","NA","NA","NA","0","0","0","1","NA","0","NA","0","1","1","0","1","0","0","1","1","0","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","?","0","0","0","1","?","0","0","1","NA","NA","0","NA","0","0","1","0","0","0","?","0","1","0","1","0","1"
"2451","nort2747","1","1","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","1","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","1","0","1","1","1","1","0","1","0","2","NA","NA","1","NA","NA","1","0","0","0","1","1","1","NA","NA","0","NA","0","1","0","0","1","0","1","0","0","NA","1","NA","0","NA","NA","2","0","1","0","1","0","NA","NA","NA","NA","0","0","0","1","NA","1","NA","1","0","0","1","1","0","0","1","1","1","0","1","NA","0","1","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","0","1","1","NA","0","0","1","NA","NA","0","NA","0","1","1","0","0","0","0","0","0","0","0","0","1"
"2452","nyah1250","1","1","0","1","1","1","1","0","1","0","NA","NA","0","NA","NA","1","0","1","0","1","0","1","0","1","0","NA","0","NA","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","0","1","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","1","1","0","1","0","0","0","2","0","2","0","1","1","0","1","0","2","NA","NA","1","1","0","1","1","0","0","1","?","1","NA","NA","0","NA","0","1","0","0","0","1","1","0","0","NA","0","NA","0","NA","NA","2","0","1","0","1","0","NA","NA","NA","NA","0","0","0","1","0","1","1","0","0","1","0","1","0","0","1","1","0","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","0","?","0","0","0","1","0","0","0","1","NA","NA","0","NA","0","1","1","?","0","0","0","0","0","0","1","0","1"
"2453","pahn1237","1","0","0","1","0","0","0","0","1","0","NA","NA","0","NA","NA","1","0","1","0","1","NA","0","NA","NA","0","NA","0","NA","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","0","?","0","NA","NA","0","NA","NA","NA","0","0","0","0","NA","0","1","0","1","0","0","0","1","0","1","0","1","0","0","1","0","2","NA","NA","1","NA","NA","1","0","0","0","1","0","1","NA","NA","0","NA","0","0","0","0","0","0","1","0","0","NA","1","NA","0","NA","NA","2","0","1","0","1","0","NA","NA","NA","NA","0","0","0","1","NA","1","NA","1","0","0","1","1","0","0","1","1","0","0","1","NA","0","0","0","0","0","NA","NA","0","NA","0","NA","NA","NA","1","0","0","0","1","1","NA","0","0","1","NA","NA","0","NA","0","0","1","0","0","0","0","0","0","0","0","0","1"
